,lon,lat,alt
2019-08-05 12:00:38,-123.0051550000,48.5538730000,0
2019-08-05 12:00:39,-123.0051930000,48.5539420000,0
2019-08-05 12:00:40,-123.0052330000,48.5540080000,0
2019-08-05 12:00:41,-123.0052730000,48.5540770000,0
2019-08-05 12:00:42,-123.0053100000,48.5541450000,0
2019-08-05 12:00:43,-123.0053480000,48.5542130000,0
2019-08-05 12:00:44,-123.0053850000,48.5542830000,0
2019-08-05 12:00:45,-123.0054200000,48.5543520000,0
2019-08-05 12:00:46,-123.0054550000,48.5544230000,0
2019-08-05 12:00:47,-123.0054900000,48.5544950000,0
2019-08-05 12:00:48,-123.0055270000,48.5545650000,0
2019-08-05 12:00:49,-123.0055630000,48.5546330000,0
2019-08-05 12:00:50,-123.0056020000,48.5547030000,0
2019-08-05 12:00:51,-123.0056380000,48.5547730000,0
2019-08-05 12:00:52,-123.0056750000,48.5548450000,0
2019-08-05 12:00:53,-123.0057100000,48.5549150000,0
2019-08-05 12:00:54,-123.0057430000,48.5549850000,0
2019-08-05 12:00:55,-123.0057770000,48.5550530000,0
2019-08-05 12:00:56,-123.0058080000,48.5551250000,0
2019-08-05 12:00:57,-123.0058430000,48.5551970000,0
2019-08-05 12:00:58,-123.0058780000,48.5552650000,0
2019-08-05 12:00:59,-123.0059170000,48.5553350000,0
2019-08-05 12:01:00,-123.0059570000,48.5554050000,0
2019-08-05 12:01:01,-123.0060020000,48.5554730000,0
2019-08-05 12:01:02,-123.0060470000,48.5555420000,0
2019-08-05 12:01:03,-123.0060950000,48.5556080000,0
2019-08-05 12:01:04,-123.0061430000,48.5556770000,0
2019-08-05 12:01:05,-123.0061920000,48.5557420000,0
2019-08-05 12:01:06,-123.0062380000,48.5558080000,0
2019-08-05 12:01:07,-123.0062830000,48.5558730000,0
2019-08-05 12:01:08,-123.0063280000,48.5559400000,0
2019-08-05 12:01:09,-123.0063750000,48.5560050000,0
2019-08-05 12:01:10,-123.0064200000,48.5560720000,0
2019-08-05 12:01:11,-123.0064650000,48.5561350000,0
2019-08-05 12:01:12,-123.0065080000,48.5561980000,0
2019-08-05 12:01:13,-123.0065530000,48.5562600000,0
2019-08-05 12:01:14,-123.0065980000,48.5563230000,0
2019-08-05 12:01:15,-123.0066430000,48.5563870000,0
2019-08-05 12:01:16,-123.0066880000,48.5564480000,0
2019-08-05 12:01:17,-123.0067350000,48.5565100000,0
2019-08-05 12:01:18,-123.0067820000,48.5565730000,0
2019-08-05 12:01:19,-123.0068270000,48.5566350000,0
2019-08-05 12:01:20,-123.0068720000,48.5566980000,0
2019-08-05 12:01:21,-123.0069170000,48.5567620000,0
2019-08-05 12:01:22,-123.0069620000,48.5568230000,0
2019-08-05 12:01:23,-123.0070080000,48.5568870000,0
2019-08-05 12:01:24,-123.0070550000,48.5569500000,0
2019-08-05 12:01:25,-123.0071030000,48.5570150000,0
2019-08-05 12:01:26,-123.0071500000,48.5570800000,0
2019-08-05 12:01:27,-123.0071980000,48.5571450000,0
2019-08-05 12:01:28,-123.0072470000,48.5572100000,0
2019-08-05 12:01:29,-123.0072900000,48.5572770000,0
2019-08-05 12:01:30,-123.0073320000,48.5573420000,0
2019-08-05 12:01:31,-123.0073700000,48.5574080000,0
2019-08-05 12:01:32,-123.0074080000,48.5574770000,0
2019-08-05 12:01:33,-123.0074480000,48.5575430000,0
2019-08-05 12:01:34,-123.0074880000,48.5576120000,0
2019-08-05 12:01:35,-123.0075300000,48.5576780000,0
